Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22p,
"C3, C4, C5, C6",0805,4,0.1u,
C7,0805,1,4.7u,
C8,0805,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",D_SOD-123,40,D,
J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST SH 1.0 (USB),
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K5, K6, K7, K8, K9",SW_Hotswap_Kailh_MX,40,KEYSW,
"R1, R2",0805,2,10K,
SW1,SW_SPST_TL3342,1,SW_PUSH,
U1,TQFP-44_10x10mm_P0.8mm,1,ATMEGA32U4,
X1,Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm_HandSoldering,1,XTAL_GND,
