Designator,Mid X,Mid Y,Rotation,Layer
C1,175.6,-84.0,270.0,bottom
C2,185.687437,-84.1,270.0,bottom
C3,184.7,-102.0,0.0,bottom
C4,190.5,-89.45,90.0,bottom
C5,170.5,-89.05,0.0,bottom
C6,170.5,-83.95,90.0,bottom
C7,170.5,-98.45,90.0,bottom
C8,170.55,-93.25,90.0,bottom
D1,43.18,-41.13,90.0,bottom
D10,214.63,-41.13,90.0,bottom
D11,233.68,-41.13,90.0,bottom
D12,259.87375,-41.13,90.0,bottom
D13,45.56125,-60.18,90.0,bottom
D14,66.9925,-60.18,90.0,bottom
D15,86.0425,-60.18,90.0,bottom
D16,105.0925,-60.18,90.0,bottom
D17,124.1425,-60.18,90.0,bottom
D18,143.1925,-60.18,90.0,bottom
D19,162.2425,-60.18,90.0,bottom
D2,62.23,-41.13,90.0,bottom
D20,181.2925,-60.18,90.0,bottom
D21,200.3425,-60.18,90.0,bottom
D22,219.3925,-60.18,90.0,bottom
D23,238.4425,-60.18,90.0,bottom
D24,262.255,-60.18,90.0,bottom
D25,50.32375,-79.23,90.0,bottom
D26,76.5175,-79.23,90.0,bottom
D27,95.5675,-79.23,90.0,bottom
D28,114.6175,-79.23,90.0,bottom
D29,133.6675,-79.23,90.0,bottom
D3,81.28,-41.13,90.0,bottom
D30,152.7175,-79.23,90.0,bottom
D31,171.7675,-79.23,90.0,bottom
D32,190.8175,-79.23,90.0,bottom
D33,209.8675,-79.23,90.0,bottom
D34,228.9175,-79.23,90.0,bottom
D35,257.4925,-79.23,90.0,bottom
D36,52.705,-98.28,90.0,bottom
D37,86.0425,-98.28,90.0,bottom
D38,155.09875,-98.28,90.0,bottom
D39,224.155,-98.28,90.0,bottom
D4,100.33,-41.13,90.0,bottom
D40,257.4925,-98.28,90.0,bottom
D5,119.38,-41.13,90.0,bottom
D6,138.43,-41.13,90.0,bottom
D7,157.48,-41.13,90.0,bottom
D8,176.53,-41.13,90.0,bottom
D9,195.58,-41.13,90.0,bottom
J1,157.5,-66.075,0.0,bottom
K1,38.1,-38.1,0.0,top
K10,209.55,-38.1,0.0,top
K11,228.6,-38.1,0.0,top
K12,254.79375,-38.1,0.0,top
K13,40.48125,-57.15,0.0,top
K14,61.9125,-57.15,0.0,top
K15,80.9625,-57.15,0.0,top
K16,100.0125,-57.15,0.0,top
K17,119.0625,-57.15,0.0,top
K18,138.1125,-57.15,0.0,top
K19,157.1625,-57.15,0.0,top
K2,57.15,-38.1,0.0,top
K20,176.2125,-57.15,0.0,top
K21,195.2625,-57.15,0.0,top
K22,214.3125,-57.15,0.0,top
K23,233.3625,-57.15,0.0,top
K24,257.175,-57.15,0.0,top
K25,45.24375,-76.2,0.0,top
K26,71.4375,-76.2,0.0,top
K27,90.4875,-76.2,0.0,top
K28,109.5375,-76.2,0.0,top
K29,128.5875,-76.2,0.0,top
K3,76.2,-38.1,0.0,top
K30,147.6375,-76.2,0.0,top
K31,166.6875,-76.2,0.0,top
K32,185.7375,-76.2,0.0,top
K33,204.7875,-76.2,0.0,top
K34,223.8375,-76.2,0.0,top
K35,252.4125,-76.2,0.0,top
K36,47.625,-95.25,0.0,top
K37,80.9625,-95.25,0.0,top
K38,150.01875,-95.25,0.0,top
K39,219.075,-95.25,0.0,top
K4,95.25,-38.1,0.0,top
K40,252.4125,-95.25,0.0,top
K5,114.3,-38.1,0.0,top
K6,133.35,-38.1,0.0,top
K7,152.4,-38.1,0.0,top
K8,171.45,-38.1,0.0,top
K9,190.5,-38.1,0.0,top
R1,171.25,-101.25,180.0,bottom
R2,190.5,-99.0,270.0,bottom
SW1,164.0,-99.1,0.0,bottom
U1,180.5,-93.7,90.0,bottom
X1,180.447487,-83.297487,135.0,bottom
